1		12.4357493725443 
2		22.4286502925796 
3		27.0320434996433 
4		35.9066644840213 
5	+35.8647680849825	+39.6123764267373   
6	+42.2864373079893	+45.2073750350192   
7	+42.5025240710954	+42.4739885319352   
8	+49.4255682770843	+42.9210900583034   
9	+48.025496182145 	+45.1436772430926   
10	+48.142586955757 	+45.3668698163682   
11	+43.508208978582 	+44.5808078648793   
12	+43.573682977038 	+40.6007335596071   
13	+41.230801081291 				
14	+38.581297274550 				
15	+34.599169104258 				
16	+33.849565761825 				
